id,title,phoneNumber,website,email,source,category
8241,"The Sheffield And District Law Society Ltd","0114 272 3655",http://www.sheffieldlawsociety.co.uk,enquiries@sheffieldlawsociety.co.uk,"SCR Growth Hub",
8242,"The Sofa Web and Design Ltd","01302 315030",http://www.thesofawebanddesign.co.uk,martin@thesofawebanddesign.co.uk,"SCR Growth Hub",
8243,"The Stress Master","03332 026285",http://www.thestressmaster.com,ches@thestressmaster.com,"SCR Growth Hub",
8244,"The UK Careers Fair Limited","01252 983140",https://www.ukcareersfair.com/,info@ukcareersfair.com,"SCR Growth Hub",
8245,"Tierney &#038; Co","01909 550730",http://www.tierneyandco.co.uk,mail@tierneyandco.co.uk,"SCR Growth Hub",
8246,"Together We Count","0114 4000 119",http://togetherwecount.co.uk,info@togetherwecount.co.uk,"SCR Growth Hub",
8247,"Torne and Shirmers","0800 500 3197",http://www.torneandshirmers.com,info@torneandshirmers.com,"SCR Growth Hub",
8248,"Twenty Four IT Services","01302 732190",http://www.twentyfourit.co.uk,sales@twenty-four.it,"SCR Growth Hub",
8249,"U Transition Limited",07828496388,http://utransition.co.uk,christine@utransitin.co.uk,"SCR Growth Hub",
8250,"UHY Hacker Young","0114 262 9280",http://www.uhy-uk.com/sheffield/,a.hulse@uhy-uk.com,"SCR Growth Hub",
8251,"UK Agricultural Finance","01732 252399",http://www.ukagriculturalfinance.com,info@ukagriculturalfinance.com,"SCR Growth Hub",
8252,"UK Export Finance","020 7271 8010",https://www.gov.uk/government/organisations/uk-export-finance,customer.service@ukef.gsi.gov.uk,"SCR Growth Hub",
8253,UKAD,"0114 3607578",https://www.ukad-group.com,artem.bezvesilnyi@ukad-group.com,"SCR Growth Hub",
8254,"Unconventional Connections","07932 768 462",http://www.unconventionalconnections.co.uk,info@unconventionalconnections.co.uk,"SCR Growth Hub",
8255,"University of Sheffield","0114 222 8908",http://www.withusatunicus.com,s.r.timmins@sheffield.ac.uk,"SCR Growth Hub",
8256,"ValueAdding.com Ltd","07958 369 632",http://www.valueadding.com,hello@valueadding.com,"SCR Growth Hub",
8257,"Velocumen Ltd",07775846603,https://www.velocumen.com/,ianc@velocumen.com,"SCR Growth Hub",
8258,"Victoria Marks Virtual Assistant &#038; Marketing Services",07734430590,http://www.victoriamarks.co.uk,hello@victoriamarks.co.uk,"SCR Growth Hub",
8259,"Vines Legal Limited","01246 555610",http://www.vineslegal.co.uk,enquiries@vineslegal.co.uk,"SCR Growth Hub",
8260,"vision softech",01225602121,http://visionsoftech.com,sales@visionsoftech.com,"SCR Growth Hub",
8261,"Voice &#038; Co","0114 243 2888",http://www.voice-co.com,general@voice-co.com,"SCR Growth Hub",
8262,VOOT,"0114 3211504",http://www.voottelecom.co.uk,hello@voot.org,"SCR Growth Hub",
8263,"Wake Smith Solicitors","0114 266 6660",http://www.wake-smith.com,legal@wake-smith.com,"SCR Growth Hub",
8264,"Wareing Consulting",07545224117,http://www.wareingconsulting.co.uk,roger@wareingconsulting.co.uk,"SCR Growth Hub",
8265,"Warrens GBC Limited","01302 340 011",http://www.warrensgbc.co.uk,mail@warrensgbc.co.uk,"SCR Growth Hub",
8266,WasteOnline,"0845 176 0020",https://wasteonline.uk/,Contactus@wasteonline.uk,"SCR Growth Hub",
8267,"Wave Magazine","07823 357721",http://www.wavemagazine.co.uk,wavemagazine@hallmarkbranding.co.uk,"SCR Growth Hub",
8268,Websitors,"+44 7378 483961",https://www.websitors.co.uk/,Jacobandersonseo@gmail.com,"SCR Growth Hub",
8269,"Whinfrey Briggs Limited","01709 769957",http://www.whinfreybriggs.co.uk,info@whinfreybriggs.co.uk,"SCR Growth Hub",
8270,"White Apple Thinking Ltd","07525 843015",http://www.whiteapplethinking.co.uk,enquiries@whiteapplethinking.co.uk,"SCR Growth Hub",
8271,"Self Architects","0114 226 0255",http://www.selfacrchitects.co.uk,mbarker@selfarchitects.co.uk,"SCR Growth Hub",
8272,"White Rose Fire Safety","0800 180 4132",https://www.whiterosefiresafety.co.uk/,info@whiterosefiresafety.co.uk,"SCR Growth Hub",
8273,"Woodcock Law &#038; Notary Public","0800 0492471",https://woodcocklaw.co.uk/,info@woodcocknotarypublic.com,"SCR Growth Hub",
8274,"World Certification Services Ltd","0151 9247474",http://www.world-cert.co.uk/,info@world-cert.co.uk,"SCR Growth Hub",
8275,"Wosskow Brown","0114 256 1560",http://www.wosskowbrown.co.uk,info@wosskowbrown.co.uk,"SCR Growth Hub",
8276,"Wow space creative exhibitions","0044 1743 383049",https://www.wow-space.co.uk/,addingtonrobert23@gmail.com,"SCR Growth Hub",
8277,WowCommerce,01157860268,https://wowcommerce.co.uk/,wowcommerce1@gmail.com,"SCR Growth Hub",
8278,"Wright Vigar","01777 707373",http://www.wrightvigar.co.uk,diane.hughes@wrightvigar.co.uk,"SCR Growth Hub",
8279,Wrigleys,"0114 267 5588",http://www.wrigleys.co.uk,lorraine.cameron@wrigleys.co.uk,"SCR Growth Hub",
8280,"YH Training Services","0800 5422848",http://www.yh-group.co.uk,doncaster@yh-group.co.uk,"SCR Growth Hub",
8281,"Yorkshire Insolvency Limited","0800 019 9650",http://www.yorkshireinsolvency.co.uk,,"SCR Growth Hub",
8282,"YouÂ &#038; Us Events","0114 400 0074",https://www.youandusevents.co.uk,hello@youandusevents.co.uk,"SCR Growth Hub",
8283,"Your Marketing Managed",07813535671,https://yourmarketingmanaged.com/,elaine@yourmarketingmanaged.com,"SCR Growth Hub",
8284,"Bradfield Farmers Market","0114 285 1227",,,"The Best Of",
8285,"Bradfield Village Hall","0114 285 1227",,,"The Best Of",
8286,"BRADFLIX - Bradfield Village Hall Cinema",N/A,,,"The Best Of",
8287,"Cineworld Sheffield","0330 333 4444",,,"The Best Of",
8288,"Encliffe Village Store",N/A,,,"The Best Of",
8289,"Green + Benz","0114 270 6366",,,"The Best Of",
8290,"La Bella Brides","0114 234 8835",,,"The Best Of",
8291,"Macmillan Cancer Support","01246 810301",,,"The Best Of",
8292,"Mental Health Action Group Sheffield","0114 234 1705",,,"The Best Of",
8293,Neurocare,"0114 267 6464",,,"The Best Of",
8294,"Our Cow Molly","0114 233 2683",,,"The Best Of",
8295,"P1 Drive School","07801 432497",,,"The Best Of",
8296,ProCo,"0114 272 8888",,,"The Best Of",
8297,"Robert D Salons","0114 234 4585",,,"The Best Of",
8298,"Rethink Laser Skin Clinic","0114 2945286",,,"Sheffield Search","Health &amp; Fitness"
8299,"House of W","01142 676600",,,"Sheffield Search",Beauty
8300,"Cosy Beauty Sheffield",07865082813,,,"Sheffield Search",Beauty
8301,"Heeley Surgical","0114 220 2272",,,"Sheffield Search","Health &amp; Fitness"
8302,"Health in Motion Physiotherapy","07772 818814",,,"Sheffield Search","Health &amp; Fitness"
8303,"Mindfulness Mavericks","0114 407 0106",,,"Sheffield Search","Health &amp; Fitness"
8304,"Homeopathic Solutions","0114 240 1433",,,"Sheffield Search","Health &amp; Fitness"
8305,"Ability Lifts","0845 0068803",,,"Sheffield Search","Health &amp; Fitness"
8306,"Mvecare Health Solutions","01142378765 or 07815699294",,,"Sheffield Search","Health &amp; Fitness"
8307,"Keep Fit Association Yorkshire Region","Not Listed",,,"Sheffield Search","Community Services &amp; Organisations"
8308,"Kelham Sports Therapy","0114 551 1333",,,"Sheffield Search","Health &amp; Fitness"
8309,"Emma Hunt â€“ Personal Trainer","07733 188601",,,"Sheffield Search","Health &amp; Fitness"
8310,"Stroage Stars Ltd","0114 281 1044",,,"Sheffield Search",Property
8311,f4mmedia,"01142 496426",,,"Sheffield Search","Business Services"
8312,"Planetic Ltd","0114 449 8550",,,"Sheffield Search","Business Services"
8313,"1st To Find","07826 495805",,,"Sheffield Search","Business Services"
8314,"Wizu Workspace","0114 433 3151",,,"Sheffield Search","Business Services"
8315,"Eco Cleaning Services","0114 345 1003",,,"Sheffield Search","Business Services"
8316,"Sheffield Cleaning",07756011515,,,"Sheffield Search","Business Services"
8317,"RGS Cleaning Ltd","0114 263 0303",,,"Sheffield Search","Business Services"
8318,"e intelligence","0114 491 0820",,,"Sheffield Search","Business Services"
8319,"4G Voice &amp; Data","0333 358 9888",,,"Sheffield Search","Business Services"
8320,"Glotech Repairs Sheffield","0114 3217091",,,"Sheffield Search","Home &amp; Garden"
8321,"Best at Hire Ltd","0844 288 8088",,,"Sheffield Search","Home &amp; Garden"
8322,"UK CCTV Installations",03453119911,,,"Sheffield Search","Home &amp; Garden"
8323,"TS Plastering","0114 256 9661",,,"Sheffield Search","Home &amp; Garden"
8324,"Burwood Joinery Ltd","0114 281 4113",,,"Sheffield Search","Home &amp; Garden"
8325,"Nabuh Energy","0330 0414 902",,,"Sheffield Search","Home &amp; Garden"
8326,"My Fathers Heart","0114 2 500 177",,,"Sheffield Search","Home &amp; Garden"
8327,"Merlx Electrical Services","07493 113103",,,"Sheffield Search","Home &amp; Garden"
8328,"One Insulation","0114 208 6108",,,"Sheffield Search","Home &amp; Garden"
8329,"Sheffield People Using Disability Services","07873 848366",,,"Sheffield Search","Community Services &amp; Organisations"
8330,"Beighton Lifestyle Centre","01142 478383",,,"Sheffield Search","Community Services &amp; Organisations"
8331,"Peter Haigh and Sons","0114 2457913",,,"Sheffield Search","Community Services &amp; Organisations"
8332,"Koolia Luxury Worktops","07947 100297",,,"Sheffield Search",Manufacturing
8333,"AKM Steels","01709 377005",,,"Sheffield Search",Manufacturing
8334,"Sheffield Silverware","0114 272 1343",,,"Sheffield Search",Manufacturing
8335,"Ace Door Fitting Sheffield","0114 2394813",,,"Sheffield Search",Manufacturing
8336,"First Power &amp; Surge Protection Ltd","01142 626121",,,"Sheffield Search",Manufacturing
8337,"Real Time Web Solutions","0844 870 8591",,,"Sheffield Search","Computing &amp; IT"
8338,"We Are Arise Ltd","0114 430 0145",,,"Sheffield Search","Computing &amp; IT"
8339,"Hawkify UK","0114 386 3233",,,"Sheffield Search","Computing &amp; IT"
8340,"Wise Optimise","0114 419 0370",,,"Sheffield Search","Computing &amp; IT"
8341,"Azzure IT","0114 2997270",,,"Sheffield Search","Computing &amp; IT"
8342,"Micro Boutique Branding Ltd","Not Listed",,,"Sheffield Search","Computing &amp; IT"
8343,Vision64,"01142 999259",,,"Sheffield Search","Computing &amp; IT"
8344,Quba,"0114 279 7779",,,"Sheffield Search","Computing &amp; IT"
8345,Synergy-UK,"0114 221 6569",,,"Sheffield Search","Computing &amp; IT"
8346,"Sheffield Computer Services","0114 4070128 and 07552 380585",,,"Sheffield Search","Computing &amp; IT"
8347,"Mr Clutch Autocentres","01142 855 212",,,"Sheffield Search",Motoring
8348,"DS3 Driving School","01142 217895",,,"Sheffield Search",Motoring
8349,"A1 Towbar Systems Limited","0114 2800 510",,,"Sheffield Search",Motoring
8350,"Don Valley Motor Company Ltd","01142 291391",,,"Sheffield Search",Motoring
8351,"BLUES Grill Lounge Bar","0114 3279658",,,"Sheffield Search","Eating Out"
8352,"Peak Vets","0114 250 7733",,,"Sheffield Search","Pets &amp; Animals"
8353,"MeeraPuppins Puppy Training &amp; Puppy Socialisation","07951 718616",,,"Sheffield Search","Pets &amp; Animals"
8354,Flexipet,"Not Listed",,,"Sheffield Search","Pets &amp; Animals"
8355,"Chase Recruitment Limited","0114 2236000",,,"Sheffield Search","Employment &amp; Education"
8356,"Clifton Practice Hypnotherapy Training Sheffield","07724 855395",,,"Sheffield Search","Employment &amp; Education"
8357,"FAD FC","01143 481562 or 07880 965609",,,"Sheffield Search","Employment &amp; Education"
8358,"Sheffield Buccaneers Fencing Club","0114 2738681 or 07761 284378",,,"Sheffield Search","Employment &amp; Education"
8359,"1-2-1 Music Tuition","07525 095123",,,"Sheffield Search","Employment &amp; Education"
8360,"Paces Sheffield","Not Listed",,,"Sheffield Search","Employment &amp; Education"
8361,"Blue Arrow","01142 722600",,,"Sheffield Search","Employment &amp; Education"
8362,"The Brow Academy","01144 536 188",,,"Sheffield Search","Employment &amp; Education"
8363,"Bloom Baby Classes Rotherham North",07738462914,,,"Sheffield Search","Employment &amp; Education"
8364,"Avante Removals and Storage","0800 043 2810",,,"Sheffield Search",Property
8365,"Andrews Removal &amp; Storage Ltd","0114 245 0110",,,"Sheffield Search",Property
8366,"MWV Archive Storage","01142 977527",,,"Sheffield Search",Property
8367,"Linley &amp; Simpson","0114 273 1121",,,"Sheffield Search",Property
8368,"Claypenny Properties","0114 266 9900",,,"Sheffield Search",Property
8369,"Specialised Movers","0114 261 1183",,,"Sheffield Search",Property
8370,"Strawberry Student Homes","0114 2668315",,,"Sheffield Search",Property
8371,"Drain Doctor Sheffield","0114 4421234",,,"Sheffield Search",Engineering
8372,"Servelec Controls","01246 437600",,,"Sheffield Search",Engineering
8373,biild,"01909 499017",,,"Sheffield Search",Engineering
8374,"Brightman Architects","0114 418 2480",,,"Sheffield Search",Engineering
8375,"Magnolia Jewellery","07960 619939",,,"Sheffield Search",Shopping
8376,"Style Workwear","0114 2798136",,,"Sheffield Search",Shopping
8377,"Capstone Framing",07410943755,,,"Sheffield Search",Shopping
8378,"Keep Your Dress On","07929 731993",,,"Sheffield Search",Shopping
8379,"Direct Slatwall","0114 3450212",,,"Sheffield Search",Shopping
8380,"White Wedding Videos","07493 194948",,,"Sheffield Search",Shopping
8381,"Little Urban Fox and Friends",07737356712,,,"Sheffield Search",Shopping
8382,"Spirit Shack","0114 553 9007",,,"Sheffield Search",Shopping
8383,"Hint Of Elegance","07789 772053",,,"Sheffield Search",Shopping
8384,"LoobyLou&#039;s Nursery and Childrenswear","07837 239615",,,"Sheffield Search",Shopping
8385,"360 Virtual View","0114 383 0711",,,"Sheffield Search","Entertainment &amp; Arts"
8386,"Under The Stars","0114 2331869",,,"Sheffield Search","Entertainment &amp; Arts"
8387,"NexGen Portable Stage","0845 2260 192",,,"Sheffield Search","Entertainment &amp; Arts"
8388,"Bounce Around Sheffield","0114 242 1534",,,"Sheffield Search","Entertainment &amp; Arts"
8389,"Steel City Bounce","0114 4372393",,,"Sheffield Search","Entertainment &amp; Arts"
8390,"Richmond Pictures","07877 950137",,,"Sheffield Search","Entertainment &amp; Arts"
8391,"Milestone Marquees","07756 011 515",,,"Sheffield Search","Entertainment &amp; Arts"
8392,"AS Photography Services","07831 668756",,,"Sheffield Search","Entertainment &amp; Arts"
8393,"Greentop Community Circus Centre","0114 244 8828",,,"Sheffield Search","Sports &amp; Leisure"
8394,"Velocity Vapes Ltd","01246 731 756",,,"Sheffield Search","Sports &amp; Leisure"
8395,"Wake Smith Solicitors","0114 266 6660",,,"Sheffield Search","Financial &amp; Legal"
8396,"Irwin Mitchell Solicitors Sheffield","0870 1500 100",,,"Sheffield Search","Financial &amp; Legal"
8397,"Mortgage Advice Hub","0114 247 5000",,,"Sheffield Search","Financial &amp; Legal"
8398,"Hall Brown","0114 553 4570",,,"Sheffield Search","Financial &amp; Legal"
8399,"Sheffield Student Property","0114 2666 300",,,"Sheffield Search","Travel &amp; Accommodation"
8400,"Holiday Inn Express Sheffield City Centre",44-114-2526500,,,"Sheffield Search","Travel &amp; Accommodation"
8401,"PA Properties","0114 267 0155",,,"Sheffield Search","Travel &amp; Accommodation"
8402,"Homely Apartments","0330 808 3283",,,"Sheffield Search","Travel &amp; Accommodation"
8403,"Innkeeper&#039;s Lodge","08451 551 551",,,"Sheffield Search","Travel &amp; Accommodation"
8404,"American Pie Group","0800 0482 298",,,"Sheffield Search","Travel &amp; Accommodation"
8405,"BROWN&#039;S CBD",07498666933,,,"Sheffield Search","Food &amp; Drink"
8406,"Buchanan Green - Sheffield Council","Not Listed",,,"Sheffield Search","Food &amp; Drink"
8407,"Sheffield Automatic Driving School","07776 282909",http://www.automatic-driving-lessons-sheffield.co.uk,,"Business Directory",driving-schools
8408,"SD Automatic Driving School",,https://www.sdautomaticdrivingschool.co.uk/,,"Business Directory",driving-schools
8409,"Begin Automatic Driving School Sheffield","07717 062942",https://www.beginautomaticdrivingschool.co.uk,,"Business Directory",driving-schools
8410,"Intensive Driving School","0333 355 142",https://www.intensive-driving-school.co.uk/intensive-driving-courses-sheffield,,"Business Directory",driving-schools
8411,"Alan Drabble",07973970035,http://www.alandrabble.co.uk,,"Business Directory",driving-schools
8412,"10 to 2 Driving School Sheffield",08005677301,http://www.drivinglessonsinsheffield.org,,"Business Directory",driving-schools
8413,"PPP Driving School","07890 321284",http://www.pppdrivingschool.co.uk/,,"Business Directory",driving-schools
8414,"Bouncy Castle Hire - Sheffield Inflatables",07902989694,https://www.sheffieldinflatables.co.uk,,"Business Directory",Bouncy-Castle-Hire
8415,"SHEFFIELD MINIBUS HIRE",08004647761,https://www.sheffieldminibushire.uk/,,"Business Directory",minibus-hire
8416,"Minibus Hire Sheffield","0114 3310006",https://www.minibushiresheffield.net/,,"Business Directory",minibus-hire
8417,"Car towing service Sheffield",01143031088,https://www.sheffield-recovery.com/,,"Business Directory",vehicle-services
8418,"Mondos Motor Care",07964142473,,,"Business Directory",vehicle-services
8419,"UPVC Door Repair",,https://upvcdoorrepair.co.uk,,"Business Directory",locksmiths
8420,"Sheffield Locksmith",,https://www.shefflock.co.uk,,"Business Directory",locksmiths
8421,"Precision Locksmiths",07577138335,http://www.precisionlocksmiths.uk.com,,"Business Directory",locksmiths
8422,"Aviatrix ",07908888936,https://www.aviatrix.co.uk,,"Business Directory",catering
8423,"Bellisimo Food","07399 623686",https://www.bellisimofood.co.uk/,,"Business Directory",catering
8424,"The Urban Deli",01142763218,http://www.urbandeli.co.uk/,,"Business Directory",catering
8425,"Tree Surgeon Sheffield","0114 6976688",https://www.treesurgeonsheffield.org/,,"Business Directory",Tree-Surgeon
8426,"Sky High Tree Services",,https://www.skyhightree-services.co.uk/tree-surgeon-sheffield,,"Business Directory",Tree-Surgeon
8427,"Aspen tree care & arborist ",01142997382,http://www.aspentreecare.webs.com,,"Business Directory",Tree-Surgeon
8428,"Balloon Digital",,https://balloon-digital.com/,,"Business Directory",website-services
8429,"Introspective Training & Consultancy",0112437368,http://www.introspective.co.uk/,,"Business Directory",website-services
8430,"Block Paving Sheffield","0114 5517111",https://www.drivewayssheffield.com/,,"Business Directory",groundworkers
8431,"Zest Underfloor Heating Sheffield","0808 1966225",https://www.zestunderfloorheating.co.uk/underfloor-heating-sheffield,,"Business Directory",Underfloor-Heating
8432,"Anderson Removals",01142825247,https://andersonremovals.co.uk/,,"Business Directory",removal-companies
8433,"A2B Removals Company","0114 2825247",http://a2bremovalscompany.co.uk/,,"Business Directory",removal-companies
8434,"Mola Dental",01143177002,https://www.moladental.com/,,"Business Directory",dentists
8435,"Ashmans Solicitors ",03330096275,https://www.ashmanssolicitors.com/locations/courtwood-house-sheffield/,,"Business Directory",solicitors
8436,"Click Solicitors",07866036701,https://www.clicksolicitors.co.uk,,"Business Directory",solicitors
8437,"Norrie Waite & Slater Conveyancing Solicitors","0333 5770215",https://www.norriewaite.co.uk/conveyancing.html,,"Business Directory",solicitors
8438,"GWB Harthills","0114 290 950",https://www.gwbharthills.co.uk/,,"Business Directory",solicitors
8439,"Dispute Resolution Solicitors Sheffield","0800 334 5301",http://www.disputeresolutionsolicitors.com/,,"Business Directory",solicitors
8440,"Child Abuse Compensation Solicitors",08003345301,http://www.childabusecompensation.org.uk/,,"Business Directory",solicitors
8441,"NWS Employment Solicitors Sheffield",01142766166,http://www.employmentlawyerssheffield.co.uk/,,"Business Directory",solicitors
8442,"Legal Aid Solicitors in Sheffield",03335770215,http://www.legalaidsheffield.co.uk/,,"Business Directory",solicitors
8443,"NWS Wills Solicitors",03335770215,http://www.willssolicitorssheffield.co.uk/,,"Business Directory",solicitors
8444,"NWS Conveyancing Solicitors",03335770215,http://www.conveyancingsheffield.net/,,"Business Directory",solicitors
8445,"NWS Family Solicitors Sheffield",03335770215,http://www.familysolicitorssheffield.co.uk,,"Business Directory",solicitors
8446,"NWS Criminal Solicitors Sheffield",01142765015,http://www.criminalsolicitorssheffield.net/,,"Business Directory",solicitors
8447,"The Accident People ","0800 0345 15","http://www.accidentpeople.co.uk ",,"Business Directory",solicitors
8448,"Sheffield Injury Lawyers",03335770215,http://www.sheffieldinjurylawyers.co.uk/,,"Business Directory",solicitors
8449,"Motoring Solicitors",03335774213,http://www.motoring-solicitors.org/,,"Business Directory",solicitors
8450,"Norrie Waite & Slater Solicitors",08003345301,http://www.norriewaite.co.uk/,,"Business Directory",solicitors
8451,Amvia,03332582163,"1 N Bank",,"Business Directory",communications
8452,"Man & Van Sheffield","07871 944574",https://www.man-van-sheffield.co.uk,,"Business Directory",removals
8453,"swift removals sheffield",+44011441997,https://prosheffieldremovals.co.uk/,,"Business Directory",Swift-Removals-Sheffield
8454,"Self Storage Sheffield ","Self Storage",http://www.selfstoragesheffield.com,,"Business Directory",removals
8455,"Van Man Hire",07977930093,http://www.vanmanhire.co.uk,,"Business Directory",removals
8456,"Van Man Sheffield",07088830091,http://www.van-man-sheffield.co.uk,,"Business Directory",removals
8457,"Zest Fencing Sheffield","0808 5015757",https://www.zestfencing.co.uk/fencing-sheffield,,"Business Directory",gardeners
8458,"Trim ' N ' Edge Garden maintenance and Landscaping ",07772575157,http://trimanedge.co.uk,,"Business Directory",gardeners
8459,"Aston Landscapes","0114 2875726",www.astonlandscapes.co.uk,,"Business Directory",gardeners
8460,"EE Ingleton Ltd","0114 275783",https://www.eeingleton.co.uk/,,"Business Directory",Steel-fabrication
8461,"Steelgram Fabrications","0114 272 599",https://www.steelgram.co.uk/,,"Business Directory",Steel-fabrication
8462,"Parkway Fabrications",01142422733,https://parkwayfabrications.co.uk/,,"Business Directory",Steel-fabrication
8463,"Tom Wright Magic","07825 070423",https://www.tomwrightmagic.com/,,"Business Directory",Magicians
8464,"Artificial Grass Sheffield","0114 5517111",https://www.artificialgrasssheffield.net/,,"Business Directory",Artificial-Grass-Installers
8465,"The Homelife",,www.thehomelife.co.uk,,"Business Directory",online-content
8466,"Driveways Sheffield","0114 5517111",https://www.drivewayssheffield.com/,,"Business Directory",Driveways
8467,"Fencing Mansfield",01156712002,https://www.nottinghamfencing.net/fencing-mansfield,,"Business Directory",Fencing
8468,"J F Fabrication","01246 261246",http://www.jffabrications.co.uk,,"Business Directory",Fencing
8469,"Decking Sheffield","0114 551 711",https://www.deckingsheffield.com/,,"Business Directory",Decking
8470,"Digital Lift",,https://dlsocialmedia.com/,,"Business Directory",business-marketing
8471,"Avant Digital",01143496686,https://avantdigital.co.uk,,"Business Directory",business-marketing
8472,"Digital Impact Solutions",01143984110,https://www.digitalimpactsolutions.co.uk/,,"Business Directory",business-marketing
8473,"Aerial Photography Sheffield","0114 303 137",https://www.aerialphotographysheffield.com/,,"Business Directory",business-marketing
8474,"Waste Sheffield","0800 211 83 ",http://www.wastesheffield.co.uk/,,"Business Directory",business-marketing
8475,awesome.,"01226720805 ",https://wemakethingsawesome.com/,,"Business Directory",web-design
8476,"Web Design Sheffield",08002922410,https://www.seoworks.co.uk/website-development-design/,,"Business Directory",web-design
8477,"Red Kite SEO","01142 426544",http://www.redkiteseo.co.uk,,"Business Directory",web-design
8478,"Direct Computers",01142960035,http://www.directcomputers.co.uk,,"Business Directory",web-design
8479,"Eagle Platforms","0344 693 330",https://www.eagleplatforms.com/ipaf-training,,"Business Directory",industrial-services
8480,Cultrix,,https://www.cultrix.co.uk/it-support/sheffield/,,"Business Directory",customer-services
8481,"Alan D Russell Artist","07411 689663",https://www.alandrussellartist.com,,"Business Directory",arts-and-crafts
8482,"my arty party",07957264242,www.myartyparty.co.uk,,"Business Directory",arts-and-crafts
8483,"Paul Cantrell Photography","07817 860 93",http://www.paulcantrellphotography.co.uk,,"Business Directory",arts-and-crafts
8484,"Vixen Hair & Beauty",01143497233,https://vixen-hair-beauty.business.site/,,"Business Directory",hairdressers
8485,"Plasterers Sheffield","0114 478 237",http://www.plastererssheffield.com,,"Business Directory",Plasterers
8486,"Cee Vee Plastering","07542 588861",,,"Business Directory",Plasterers
8487,riaz,07944219481,,,"Business Directory",chiropodist
8488,"queen stay",01142010010,https://queenstay.co.uk/,,"Business Directory",hotel
8489,VIPVoIP,03300881,https://www.vipvoip.co.uk/,,"Business Directory",telecoms
8490,"Riverdale bespoke joinery","0114 4055 99",https://www.riverdalejoinery.com/,,"Business Directory",carpenters
9032,Garry,,"Alfred Angelo UK"," garethhoyle12@gmail.com","Sheffield Business Directory","  Accountants"
9033,"Campbell Turner Ltd ","0751 331 3670",www.campbellturner.co.uk," enquiries@campbellturner.co.uk","Sheffield Business Directory","  Accountants"
9034,FaithStarLLP,"0114 350 3310",www.faithstarllp.com," info@faithstar.org","Sheffield Business Directory","  Accountants"
9035,"Freedom in Numbers","07812 119562",https://www.freedominnumbers.co.uk/," info@freedominnumbers.co.uk","Sheffield Business Directory","  Accountants"
9036,"RSH Tree Services","0114 2589098 / 07748901653",www.rshtreeservices.co.uk," richard@rshtreeservices.co.uk","Sheffield Business Directory","  Accountants"
9037,"G & M Lockmsiths Rotherham","01709 970087",https://www.gmlocksmithrotherham.co.uk/," gandm-locksmiths@hotmail.co.uk","Sheffield Business Directory","  Accountants"
9038,"Wilford Smith ",,https://www.wilfordsmith.com/," wilfordsmith11@outlook.com","Sheffield Business Directory","  Accountants"
9039,"LiquidSpirit Mobile Bar Hire","0800 292 2845",http://mobilebarhireuk.com/," info@mobilebarhireuk.com","Sheffield Business Directory","  Accountants"
9040,"SMS Mobile Marketing from 2ergo",n/a,http://www.2ergo.co.uk/uk/products," garethhoyle12@gmail.com","Sheffield Business Directory","  Accountants"
9041,"LSF Dermal Fillers","01302 910 325",https://www.lsfdermalfillers.co.uk/," enquiries@lsfdermalfillers.co.uk","Sheffield Business Directory","  Beauty & Health"
9042,"True Face","07700 900947",https://www.true-face.co.uk/," truefaceaesthetics@gmail.com","Sheffield Business Directory","  Beauty & Health"
9043,"DermaLuxe Aesthetics",07756402874,www.dermaluxeaesthetics.co.uk," dermaluxe_aesthetics@hotmail.co.uk","Sheffield Business Directory","  Beauty & Health"
9044,"The Fitness Room","07534 167 347",http://thefitnessroomsheffield.co.uk/," thefitnessroomlb@gmail.com","Sheffield Business Directory","  Beauty & Health"
9045,"Rina George Surgery","0114 250 5536",www.rinageorgesurgery.com," rinageorgesurgery@gmail.com","Sheffield Business Directory","  Beauty & Health"
9046,"gwilson photography",07412596993,https://www.gwilsonphotography.net/," garywilson@photography.net","Sheffield Business Directory","  Beauty & Health"
9047,Ypchealth,01132843955,www.ypchealth.co.uk," Info@ypchealth.co.uk","Sheffield Business Directory","  Beauty & Health"
9048,"LEP Fitness ",07834950712,http://www.lepfitness.co.uk," nick@lepfitness.co.uk","Sheffield Business Directory","  Beauty & Health"
9049,"Awesome Health Care Solutions",01142424282,www.awesomecaresolutions.co.uk," admin@awesomecaresolutions.co.uk","Sheffield Business Directory","  Beauty & Health"
9050,"JS Joinery & Maintenance","0772 5840178",," js1972@talktalk.net","Sheffield Business Directory","  Builders"
9051,"AS and OW ltd",07921317366,www.asandow.co.uk," ollie@asandow.co.uk","Sheffield Business Directory","  Builders"
9052,"LSM Builders","0114 2462950",www.LSMBuilders.co.uk," liam@lsmbuilders.co.uk","Sheffield Business Directory","  Builders"
9053,"Paul Newman Suspend Ceilings","07866 500985",http://suspendedceilingsyorkshire.co.uk/," newmo1@hotmail.co.uk","Sheffield Business Directory","  Builders"
9054,"The Never Paint Again wall coating Co.","0800 970 4928",http://www.neverpaintagain.co.uk," info@neverpaintagain.co.uk","Sheffield Business Directory","  Builders"
9055,"Rocksure Building Services"," 0208 168 9977",http://www.rocksurebuildingservices.com," rocksurebuilding@gmail.com","Sheffield Business Directory","  Builders"
9056,"William Rowland","0114 276 9421",http://www.william-rowland.com," wilrowland@yandex.com","Sheffield Business Directory","  Builders"
